run_id,started_at,completed_at,commodity_id,commodity_name,source_url,http_status,content_hash,parsed_row_count,accepted_row_count,review_row_count,failure_reason,parser_version
amis_run_20260901_220750,2026-09-01T22:07:50.344721+00:00,2026-09-01T22:07:51.167953+00:00,21,Potato Fresh,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=21,200,5cade918edbad708,1,1,0,,amis_v1_phase7b
amis_run_20260901_220750,2026-09-01T22:07:50.344721+00:00,2026-09-01T22:07:51.291367+00:00,22,Potato Store,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=22,200,c8d0f7b3a545d74d,1,1,0,,amis_v1_phase7b
amis_run_20260901_220750,2026-09-01T22:07:50.344721+00:00,2026-09-01T22:07:51.382516+00:00,23,Onion,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=23,200,7c54cede3aca3baa,1,1,0,,amis_v1_phase7b
amis_run_20260901_220750,2026-09-01T22:07:50.344721+00:00,2026-09-01T22:07:51.473952+00:00,26,Tomato,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=26,200,6c9923f03c53f400,1,1,0,,amis_v1_phase7b
amis_run_20260901_220750,2026-09-01T22:07:50.344721+00:00,2026-09-01T22:07:51.569251+00:00,49,Seed Cotton(Phutti),http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=49,200,7b859be4499edc62,1,1,0,,amis_v1_phase7b
amis_run_20260901_220750,2026-09-01T22:07:50.344721+00:00,2026-09-01T22:07:51.672368+00:00,125,Sugarcane,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=125,200,31c8706524ed521c,1,1,0,,amis_v1_phase7b
amis_run_20260901_220917,2026-09-01T22:09:17.721835+00:00,2026-09-01T22:09:17.722208+00:00,1,Wheat,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=1,200,3ba389e2edf898cd,2,2,0,,amis_v1_phase7b
amis_run_20260901_220917,2026-09-01T22:09:17.721835+00:00,2026-09-01T22:09:17.722416+00:00,21,Potato Fresh,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=21,200,bd4883e299760801,1,0,1,,amis_v1_phase7b
amis_run_20260901_220917,2026-09-01T22:09:17.721835+00:00,2026-09-01T22:09:17.722616+00:00,22,Potato Store,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=22,200,3ba389e2edf898cd,2,2,0,,amis_v1_phase7b
amis_run_20260901_221217,2026-09-01T22:12:17.400041+00:00,2026-09-01T22:12:17.561288+00:00,1,Wheat,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=1,200,d03691fd1779555c,1,1,0,,amis_v1_phase7b
