district,total_farm_area_acres,cultivated_area_acres,uncultivated_area_acres,total_cropped_area_acres,cultivated_share_pct,cropping_intensity_pct,wheat_area_acres,wheat_share_pct,rice_area_acres,rice_share_pct,cotton_area_acres,cotton_share_pct,sugarcane_area_acres,sugarcane_share_pct,maize_area_acres,maize_share_pct,fodder_area_acres,fodder_share_pct,orchard_area_acres,orchard_share_pct,kharif_total_acres,rabi_total_acres,data_source,source_year,processed_at
Lahore District,150048.0,147875.0,2173.0,216344.0,98.55,146.3,89729.0,42.0,57554.0,27.0,6.0,0.0,36.0,0.0,1455.0,0.0,60592.0,28.0,5264.0,2.0,86079.0,125000.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Layyah District,1195711.0,1137336.0,58375.0,1914037.0,95.12,168.29,835901.0,44.0,109770.0,6.0,99521.0,5.0,61204.0,3.0,5839.0,0.0,211647.0,11.0,94221.0,5.0,801616.0,1018200.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Lodhran District,521056.0,518016.0,3040.0,1005844.0,99.42,194.17,425119.0,42.0,24911.0,3.0,250551.0,25.0,5893.0,1.0,168614.0,0.0,82599.0,8.0,2876.0,0.0,493272.0,509696.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Mandi Bahauddin District,556154.0,549480.0,6674.0,1005272.0,98.8,182.95,395766.0,39.0,320233.0,32.0,194.0,0.0,49662.0,5.0,5309.0,0.0,155731.0,16.0,11268.0,1.0,487292.0,506712.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Mianwali District,727853.0,675916.0,51937.0,1098332.0,92.86,162.5,537848.0,49.0,6926.0,1.0,131339.0,12.0,25724.0,2.0,5191.0,0.0,96179.0,9.0,1597.0,0.0,468907.0,627828.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Multan District,773599.0,764278.0,9322.0,1439934.0,98.8,188.4,523781.0,36.0,153186.0,11.0,203796.0,14.0,6868.0,1.0,121397.0,0.0,203970.0,14.0,96675.0,7.0,648448.0,694811.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Muzaffargarh District,1549063.0,1508512.0,40551.0,2580251.0,97.38,171.05,1094085.0,42.0,197000.0,8.0,221329.0,9.0,203458.0,8.0,9729.0,0.0,430942.0,17.0,133169.0,5.0,1121423.0,1325659.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Nankana Sahib District,472396.0,462575.0,9821.0,890401.0,97.92,192.49,360070.0,40.0,320682.0,36.0,114.0,0.0,8886.0,1.0,4362.0,0.0,124537.0,14.0,4771.0,1.0,436989.0,448642.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Narowal District,429821.0,426376.0,3445.0,774960.0,99.2,181.76,375227.0,48.0,301491.0,39.0,27.0,0.0,665.0,0.0,435.0,0.0,54357.0,7.0,334.0,0.0,363829.0,410798.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Okara District,886180.0,875836.0,10344.0,1705062.0,98.83,194.68,427152.0,25.0,464243.0,27.0,2376.0,0.0,22221.0,1.0,175780.0,0.0,201027.0,12.0,3943.0,0.0,829634.0,871486.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
