system:index,month,temp_max_c,temp_mean_c,temp_min_c,year,.geo
0,1,21.461112373686134,11.625446723057395,1.5731539903602827,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2,29.696838439289795,18.321578151610538,5.663255352291695,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3,32.428440035904096,21.401725912185338,12.794494096332471,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4,38.43831846043265,25.7343950144855,14.498965138322987,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5,42.703897431592345,29.472712109236856,18.728873417027447,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6,42.88495074666938,33.08891724215425,19.57748990730423,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7,40.99260183757409,31.697891838689095,24.82400740064211,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8,40.63566472294706,32.558936327994225,25.74032806441622,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9,39.80205899615963,31.156048422556676,21.03104005004218,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10,36.63918338532228,25.73974402423568,16.314804595553465,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11,30.790006741469064,20.224140287542504,11.269512462151575,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12,24.445951203762593,15.267493266394661,6.340713977973404,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
