system:index,bare_km2,built_km2,crops_km2,flooded_vegetation_km2,grass_km2,month,shrub_and_scrub_km2,snow_and_ice_km2,trees_km2,water_km2,year,.geo
0,24615.11883901764,4718.408616976686,44213.00845415299,305.74086740473325,214.00952223289204,1,6232.393751314888,7144.923099823814,11469.469176670465,1768.93462970819,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,40600.796416799705,15623.195921760662,127428.3799922976,395.5825759034777,60.07122931514252,2,11154.370472721163,14.45429479980471,6618.174716107314,3124.120981823972,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,44700.06537549526,17438.85694329932,120246.21746912668,180.55742305293361,76.51628526830572,3,14602.067131862059,0.0585840595703125,5073.424049400976,2874.679448004605,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,54811.38878746924,18330.28615874314,108368.93506729825,141.48700274146387,162.2596922423101,4,14793.25122352499,0.10950102832031253,5423.929069971248,3160.5888003826467,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,78354.76052550928,18911.958606071505,88083.94325541751,81.28043303790253,53.60687824626608,5,12124.644726399165,0.1983397119140625,3943.463118414626,3638.5868267466585,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,102397.92572636822,21012.735175010275,63825.76223869561,154.56839442878402,42.665942474165114,6,8695.482022098602,0.25715165527343753,3668.531199401614,5394.514859438811,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,82680.67693281079,20839.1238428771,43241.903588658846,542.483649485929,528.8045665581533,7,7717.421699317228,709.5704208463471,20836.622476341887,17716.43087518342,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,46401.49942640632,16393.153685678004,50868.23414211464,363.6762573679545,788.244644208203,8,4986.820053707981,131.8347853059628,12464.120706188185,8768.402133086202,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,42233.91648465172,37258.40428150061,85781.67107215516,628.4817734950334,543.5423146682953,9,12771.510335182755,0.8118466123046875,20301.477040172136,5641.359889813189,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,43497.16342319153,40666.96386128298,89643.50231953793,362.1001574114003,338.22274928883286,10,10907.444783311596,0.04214052734375,15674.926445047086,4102.076829946601,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,77758.32108786744,27758.410268675514,67184.69772322313,628.9782498652277,45.280461640571396,11,6441.398908580606,808.2285512363011,19353.454893792383,5213.672564686481,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,35487.07726776669,14869.818169277809,118167.5840952301,268.1264348759935,141.32830488128835,12,12099.8822321747,3320.5663823362615,16345.384344139155,4240.135347536116,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
