system:index,month,temp_max_c,temp_mean_c,temp_min_c,year,.geo
0,1,22.732500265191433,12.400485752418307,4.073155701564793,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2,26.82720712726436,15.767755966790464,5.732997395223361,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3,37.302193552868964,24.25022625943703,10.346537516002337,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4,42.78111221058671,30.841696637479508,17.488896855937483,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5,45.355260944160584,33.97868757069211,22.167439770887285,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6,44.213453588289696,33.759263086326094,21.61534882058968,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7,38.62637553844825,30.393095993665664,25.049605770849563,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8,36.93562974574417,29.561126007223468,24.24415088339363,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9,37.295373281285684,30.30887410870022,22.89516103496819,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10,36.21990091576506,26.048584443631764,16.11727366340749,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11,31.417369112707053,19.643781162607432,9.471790062088033,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12,24.84880571551936,14.918925422609638,4.980830668018313,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
