system:index,month,temp_max_c,temp_mean_c,temp_min_c,year,.geo
0,1,24.23502172875313,13.624280530767452,4.638331872072917,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2,27.362282053541236,17.247856035555678,6.335344046325705,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3,34.55880033978499,21.95366783776343,8.342990491521645,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4,42.25205391902239,30.323775384602726,15.918910836869337,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5,44.836187721014014,33.369757317041476,22.77889661587704,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6,45.40465254325659,34.890113282846194,24.486873615643148,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7,40.10269191163138,31.976560499462057,25.409930396278522,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8,38.865961642626054,31.127469399083978,24.334102874294363,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9,37.39312000176576,29.75586581502743,23.13944737264017,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10,36.26742334330308,25.49742107102473,16.764744754263983,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11,31.38727356973603,18.75133238266368,7.486044264683019,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12,24.757944131015392,15.423358908036569,6.6686424459274445,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
