system:index,bare_km2,built_km2,crops_km2,flooded_vegetation_km2,grass_km2,month,shrub_and_scrub_km2,snow_and_ice_km2,trees_km2,water_km2,year,.geo
0,32246.81909909838,15932.592405279196,131392.39124846738,324.5051403494865,116.43166624664518,1,11976.029617892736,405.1543793785808,9630.084020020688,3066.713306806818,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,37648.506702242405,16903.90093259883,126807.9700375853,211.68463913313064,40.68218353322992,2,13265.53276034578,3.45448285423943,7281.998493355927,3000.4524437358855,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,44096.26859560812,17831.587766067816,121233.0245568184,162.30405341387888,66.5255809453431,3,13198.267833986918,0.05897676953125,5610.000785303641,2994.404560653159,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,55176.91566165927,18672.900379531828,109098.91421605367,156.90256469572228,180.1211048232118,4,13982.1485722789,0.10205966699218749,4960.760918861178,2963.677231979016,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,77766.63981650304,17937.13644117976,88560.24482085367,72.99467079907332,226.86986068485982,5,13223.787763895916,0.1270701630859375,4109.212094532243,3295.4301709436136,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,98202.62392931426,21830.252419032713,63676.34086545832,132.96345103722794,239.04393219511056,6,10127.70815156797,0.4817615371093751,5392.284827178251,5590.743372245313,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,75605.74766944745,20236.813383016706,63869.482678537664,861.7801377941648,1021.1800545300881,7,6846.500728721967,30.507149263147245,10287.66521497049,15359.790026687044,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,66310.7893591816,26346.71740661519,75780.79209710137,565.4319192320294,753.4032622618972,8,6566.335250738639,1.266996538327206,19025.4835007618,9495.599791126006,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,55040.70968097389,35685.917302552225,85821.32061037597,370.588376389199,203.57208477845165,9,8098.77147703224,0.0170838603515625,14609.076960561997,5362.469133019551,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,52048.27060905304,38585.804201545485,88325.68006624107,228.01975540694747,264.3981941302468,10,9467.67854786546,0.28369340625000006,12235.1378656662,4037.169776230063,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,79259.67867103712,19630.39005245359,62325.10153752473,325.30188885749544,98.35302918692942,11,8278.69603722145,4962.870872410668,21499.424395562175,8812.626225296823,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,46035.64296029276,19275.81046793784,94263.6841703299,347.4404955967306,140.47142599096972,12,9953.20774243546,2070.69732674976,28682.381694397343,4420.995412916761,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
