system:index,bare_km2,built_km2,crops_km2,flooded_vegetation_km2,grass_km2,month,shrub_and_scrub_km2,snow_and_ice_km2,trees_km2,water_km2,year,.geo
0,41320.01721989706,13929.899457032345,106375.11140822328,499.9311609375545,996.9972619554143,1,7970.695032514992,3390.8523811113228,26948.502938914342,3754.3809958371294,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,43083.97286561181,17495.698034550547,124072.86326972363,245.91809940599865,195.09943240307868,2,8491.920730131395,392.72190449325774,7767.976024774694,3446.272348462068,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,43887.53045383816,17978.242144353073,114792.68849741004,215.44159109157883,240.57461089566397,3,9998.210267765515,3.081585434420956,6063.183167876574,3173.3802302597574,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,59956.52703480758,22173.446557149717,99168.23187738218,302.6497922053024,273.0362824349678,4,13320.29683202951,1.6549838108992045,6568.287387603034,3422.1539058554627,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,84731.80308930158,24912.327825233086,77582.74858457012,76.11892043725162,137.8317966776117,5,8997.478556601312,0.6366976416015624,5271.045210395393,3482.4520287178248,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,91513.7182443674,25748.11037209355,68299.99048175632,109.44259930313652,131.91983089529717,6,8935.144226770506,0.19835514453125,5652.768758578577,4801.1498406571345,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,96679.01973803338,38241.900660146515,25641.112985901687,1139.8139771149238,317.9262622426811,7,5520.83172490623,24.146721744167447,17769.36095326503,17061.36401375687,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,65237.33496892437,30830.618309745,60492.534778570436,1283.8809787029015,932.001139651446,8,4708.760261784757,46.4930103328852,27074.59523067681,10630.465861326851,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
