system:index,bare_km2,built_km2,crops_km2,flooded_vegetation_km2,grass_km2,month,shrub_and_scrub_km2,snow_and_ice_km2,trees_km2,water_km2,year,.geo
0,35363.41612193092,15101.39299233429,123950.84472158182,452.1696727937668,176.2882586413565,1,11768.04553474644,285.92636548641934,14576.4827134534,3435.91050710672,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,38569.50894643611,15592.764748793728,125189.15254875744,240.0024615716634,105.04308372717907,2,14213.308596672407,14.460225779737247,8043.320941864418,2934.7214355017218,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,45822.32155972141,16177.979961156663,119145.83596723274,181.39924486456434,158.1225689436505,3,15765.5983473822,0.21929036621093748,5256.041823913493,2679.4370853990313,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,58195.668387731945,15749.78904310676,111424.58926880168,69.43137272179881,62.212990670802775,4,12899.400767204033,0.051004203124999994,4230.458849047635,2560.84102605476,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,111396.32415600559,28299.978311302348,50217.03888224804,66.79607257624018,21.821586377680763,5,8313.804915771512,0.18222532617187495,3809.071737078247,3067.424822871594,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,107915.95543804401,24746.302662101672,57277.43837789198,113.31347053216955,47.978092431050854,6,7162.9876074143685,0.5480228564453125,4052.205211005512,3875.7138272927673,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,73630.04023247538,22164.257375633395,21266.601374582413,901.8458199696037,990.7556965205023,7,2778.253045116188,834.8929463719616,22012.136141964853,17809.12296614526,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,65068.923956781226,26090.262432711734,50650.16665917906,2697.406301599308,2045.210473898561,8,5480.107300829874,94.65017504656448,21829.092672570456,16040.551583708875,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,49089.48613622216,32364.74620272019,89196.14525643442,1004.9012905682443,443.77986483046243,9,8780.471507558681,0.37111113769531245,15792.184854235895,8520.356485842934,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,50633.21367043962,31857.33679938614,89365.16397154957,443.7060692012783,553.3668503210968,10,7953.752184207688,4.090730747070312,19391.023691212453,4990.788742482869,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,51552.3813488278,15361.92869961117,108531.11444173948,256.1059990628399,166.9873312885227,11,8369.14394850483,19.912538209731146,16696.527094780027,4194.874495148128,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,44510.02731844522,14829.861831545373,112877.31830309008,365.02343271075557,467.2029739877293,12,9302.288676070546,299.8192485341415,17592.47051413695,4328.854787449708,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
