epoch,train_loss,train_acc,val_loss,val_acc,val_precision_macro,val_recall_macro,val_f1_macro,layer4_lr,fc_lr,elapsed_sec
1,0.670158,0.800928,0.303454,0.913465,0.894031,0.919165,0.903461,2e-05,0.0001,60670.5
2,0.300244,0.905794,0.209965,0.940588,0.929496,0.943217,0.934057,1.928e-05,9.623e-05,1141.6
3,0.209826,0.936319,0.18906,0.942525,0.933203,0.946056,0.937336,1.722e-05,8.55e-05,1296.9
4,0.171846,0.946494,0.155163,0.949306,0.939297,0.952158,0.943636,1.414e-05,6.944e-05,1106.0
5,0.139481,0.954662,0.142576,0.956732,0.948939,0.960568,0.953327,1.05e-05,5.05e-05,775.2
6,0.124467,0.960822,0.138562,0.957055,0.947235,0.959844,0.952089,6.86e-06,3.156e-05,830.9
7,0.121131,0.962622,0.122645,0.962867,0.9522,0.965886,0.957748,3.78e-06,1.55e-05,930.2
8,0.114825,0.963868,0.119779,0.961576,0.95282,0.964284,0.957366,1.72e-06,4.77e-06,903.1
