model,selection_status,validation_macro_f1,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,tomato_late_to_early_count,tomato_late_to_early_rate,metric_source
baseline,immutable_reference,0.8332,0.8507,0.8157,0.8497,0.8281,43,0.1498,existing_baseline_report_and_confusion_matrix
v2,selected,0.9002,0.8963,0.8713,0.8984,0.8825,27,0.0941,single_v2_held_out_test_evaluation
