system:index,district,month,rainfall_mean_mm_per_day,rainfall_total_mm,year,.geo
0_0001000000000000168f,Attock District,1,3.497409605720341,108.41969800271296,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,Bahawalnagar District,1,0.9673323821670818,29.98730383588831,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,Bahawalpur District,1,0.423263891958699,13.121180650070782,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,Bhakkar District,1,1.1373148527687227,35.25676053202854,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,Chakwal District,1,3.1961830140818934,99.08167334934662,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,Dera Ghazi Khan District,1,1.072109176750054,33.235384461293314,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,Faisalabad District,1,1.577147064599062,48.891558996906,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,Gujranwala District,1,3.506582605633399,108.70406098113706,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,Gujrat District,1,4.606082910040205,142.7885702699946,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,Hafizabad District,1,3.104496793926068,96.23940069155705,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,Jhang District,1,1.1850839019392196,36.73760098886177,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,Jhelum District,1,3.8640990941472704,119.78707210243756,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,Kasur District,1,1.7723535458173438,54.94296007411034,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,Khanewal District,1,0.8756424203106862,27.144914983565315,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,Khushab District,1,1.8047565787791862,55.94745398767444,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,Lahore District,1,3.0460849790394553,94.42863473162261,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,Layyah District,1,1.079660874877039,33.469487116560934,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,Lodhran District,1,0.7642063688289796,23.690397427297835,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,Mandi Bahauddin District,1,3.9426064827301035,122.22080065431497,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,Mianwali District,1,2.0012374660156254,62.03836142784478,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,Multan District,1,0.8653642249300632,26.826291040412595,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,Muzaffargarh District,1,0.9136898035707818,28.324383971696285,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,Narowal District,1,5.164268868313665,160.09233527090962,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
