system:index,district,month,rainfall_mean_mm_per_day,rainfall_total_mm,year,.geo
1_00010000000000001695,Faisalabad District,2,0.4913013720599824,14.247739780945652,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001696,Gujranwala District,2,0.9540335590347844,27.666973204355465,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001697,Gujrat District,2,1.5487540192654492,44.91386653020822,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001698,Hafizabad District,2,0.6991193881090565,20.274462232924538,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001699,Jhang District,2,0.3824227943189273,11.090261048293094,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169a,Jhelum District,2,1.5968907506219443,46.309831738800085,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169b,Kasur District,2,0.4032870227751509,11.69532371127857,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169c,Khanewal District,2,0.26473053344515024,7.6771854519463245,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,Khushab District,2,0.6903902990501231,20.02131870130683,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,Lahore District,2,0.49258553665937627,14.284980548031626,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,Layyah District,2,0.29057774515088586,8.426754598384388,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,Lodhran District,2,0.3207423771265463,9.301528931826928,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a1,Mandi Bahauddin District,2,1.1206638944339264,32.499252928567984,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a2,Mianwali District,2,1.0395927128591258,30.148188647899214,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
