system:index,district,month,soil_moisture_0_7cm,soil_moisture_7_28cm,year,.geo
0_0001000000000000168f,Attock District,1,0.3109781829598761,0.29449033548355197,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,Bahawalnagar District,1,0.17127575700511694,0.14744805985507964,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,Bahawalpur District,1,0.09652781788769589,0.12607931364953087,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,Bhakkar District,1,0.1302660067455447,0.12093401420202182,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,Chakwal District,1,0.2922052304974429,0.2690597811664481,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,Dera Ghazi Khan District,1,0.11742317642655804,0.14090572814405306,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,Faisalabad District,1,0.23313854210358143,0.18512358711775187,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,Gujranwala District,1,0.32176231584416626,0.30393603106045614,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,Gujrat District,1,0.3342862659534942,0.32336727296295237,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,Hafizabad District,1,0.2724117819129351,0.2332663820355274,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,Jhang District,1,0.2101901094698848,0.16575469502972132,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,Jhelum District,1,0.3124944689942213,0.2960468394063154,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,Kasur District,1,0.2831715967955877,0.26005605781254976,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,Khanewal District,1,0.200796921499603,0.153183344458533,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,Khushab District,1,0.1965839059733793,0.17133866001047213,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,Lahore District,1,0.30999987718495114,0.29475963551115497,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,Layyah District,1,0.11290893131280297,0.09471306746317497,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,Lodhran District,1,0.18261664534153935,0.14332126006437146,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,Mandi Bahauddin District,1,0.28908181962038787,0.26491611055691894,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,Mianwali District,1,0.21793429806683073,0.18702901952410916,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,Multan District,1,0.18621309894150345,0.14377808643086454,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,Muzaffargarh District,1,0.15008653562922158,0.11752790665093144,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,Narowal District,1,0.36193730330756546,0.3585953351598945,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,Okara District,1,0.23612653308404122,0.19563074799353233,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,Pakpattan District,1,0.2114727033609736,0.16161427728117,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,Rahim Yar Khan District,1,0.12749723488261927,0.1317936135590334,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,Rajanpur District,1,0.11101218129476094,0.135852261163787,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,Rawalpindi District,1,0.3677210389055205,0.35853430319409835,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ab,Sahiwal District,1,0.2142235620666617,0.1669731993973334,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ac,Sargodha District,1,0.2514665818365054,0.21430898813644653,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ad,Sheikhupura District,1,0.2829455825507797,0.25303517512919244,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ae,Sialkot District,1,0.35547466439445297,0.350265504799383,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016af,Toba Tek Singh District,1,0.22238031232753805,0.1725628754993877,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016b0,Vehari District,1,0.1949337044579179,0.14973537183431274,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000168f,Attock District,2,0.2648033363454044,0.2730517496320558,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001690,Bahawalnagar District,2,0.1170525811405201,0.1410321603415584,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001691,Bahawalpur District,2,0.05554042270352656,0.12295523212347621,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001692,Bhakkar District,2,0.08341955454511135,0.11404070985516197,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001693,Chakwal District,2,0.25092780344822324,0.24859790242577123,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001694,Dera Ghazi Khan District,2,0.05800131145962627,0.14296622367466028,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001695,Faisalabad District,2,0.19527460859532264,0.1798874387485829,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001696,Gujranwala District,2,0.28154200221524034,0.2816489687525394,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
