system:index,NDWI_mean,district,month,year,.geo
0_0001000000000000168f,-0.34473354831409386,Attock District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,-0.495914337447416,Bahawalnagar District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,-0.21016232308939836,Bahawalpur District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,-0.3560564824098106,Bhakkar District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,-0.41255147953477067,Chakwal District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,-0.3085196469940251,Dera Ghazi Khan District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,-0.3998932606993753,Faisalabad District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,-0.4067989564850114,Gujranwala District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,-0.42443383080117375,Gujrat District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,-0.34629173148743014,Hafizabad District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,0.08592982956417061,Jhang District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,0.021014845052108298,Jhelum District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,-0.42393623757943566,Kasur District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,,Khanewal District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,-0.32629751775673155,Khushab District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,-0.3526591950698419,Lahore District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,-0.26106242314766476,Layyah District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,,Lodhran District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,-0.5670779402358097,Mandi Bahauddin District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,-0.33205405763901663,Mianwali District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,-0.06208963398549209,Multan District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,-0.05215077448691819,Muzaffargarh District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,-0.39153233728540626,Narowal District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,-0.40535665052774883,Okara District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,-0.5464359243561491,Pakpattan District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,-0.25080681183836556,Rahim Yar Khan District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,-0.19424524175047703,Rajanpur District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,-0.3265764278766261,Rawalpindi District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ab,-0.37007077722854126,Sahiwal District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ac,0.052831933537944124,Sargodha District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ad,-0.38483003115610415,Sheikhupura District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ae,-0.44689127849623134,Sialkot District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016af,,Toba Tek Singh District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016b0,,Vehari District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000168f,-0.4114927168735757,Attock District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001690,-0.49612478793249914,Bahawalnagar District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001691,-0.3345346990467021,Bahawalpur District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001692,-0.38168451344081844,Bhakkar District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001693,-0.40508687170377217,Chakwal District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001694,-0.3983471438615595,Dera Ghazi Khan District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001695,-0.5318752847735376,Faisalabad District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001696,-0.5857082507759297,Gujranwala District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001697,-0.4880882574837027,Gujrat District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001698,-0.6335343274560153,Hafizabad District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001699,-0.4798527138341735,Jhang District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169a,-0.39506603391061335,Jhelum District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169b,-0.5373826082237821,Kasur District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169c,-0.5580968305811367,Khanewal District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,-0.3909593540497801,Khushab District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,-0.4307737116260247,Lahore District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,-0.4466624384118472,Layyah District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,-0.5787775402102525,Lodhran District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a1,-0.5449391043469178,Mandi Bahauddin District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a2,-0.3994256264150384,Mianwali District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a3,-0.5535893079264237,Multan District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a4,-0.5010415214998981,Muzaffargarh District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a5,-0.5674108383156338,Narowal District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a6,-0.5286925938983869,Okara District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a7,-0.5444409347561173,Pakpattan District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a8,-0.39921406567670287,Rahim Yar Khan District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
