system:index,Rainfall_mm,district,month,year,.geo
0_0001000000000000168f,52.080509015519205,Attock District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,11.800455224284402,Bahawalnagar District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,3.983363764222799,Bahawalpur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,18.907469087265742,Bhakkar District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,38.91646516408101,Chakwal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,14.92218880640139,Dera Ghazi Khan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,13.350003556369092,Faisalabad District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,23.9538166387043,Gujranwala District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,43.67176861095141,Gujrat District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,21.334641516657758,Hafizabad District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,10.945559827085019,Jhang District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,37.82482555361583,Jhelum District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,18.14977752998155,Kasur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,8.73543291739487,Khanewal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,23.02267209288947,Khushab District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,23.072643878739413,Lahore District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,14.774504782498589,Layyah District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,8.172318010077257,Lodhran District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,33.07954393745444,Mandi Bahauddin District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,35.52377770869694,Mianwali District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,10.033630018760137,Multan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,11.882631935983177,Muzaffargarh District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,49.26750328012172,Narowal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,13.647216246681408,Okara District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,13.970583407015997,Pakpattan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,5.091106601199493,Rahim Yar Khan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,11.763550396936218,Rajanpur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,64.60778200305622,Rawalpindi District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ab,14.821380619207497,Sahiwal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ac,22.977765142463372,Sargodha District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ad,19.903686383379636,Sheikhupura District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ae,45.10848070357778,Sialkot District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016af,11.208783506171644,Toba Tek Singh District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016b0,9.770066250434503,Vehari District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000168f,17.301558757456085,Attock District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001690,2.2333401241163626,Bahawalnagar District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001691,2.1262803228492992,Bahawalpur District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001692,8.262415137912496,Bhakkar District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001693,10.40563805048935,Chakwal District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001694,8.777478588956763,Dera Ghazi Khan District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001695,7.061892662358404,Faisalabad District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001696,3.678682837044528,Gujranwala District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001697,4.686661482414451,Gujrat District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001698,4.477581007224481,Hafizabad District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001699,7.889117984509973,Jhang District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169a,6.720607541328484,Jhelum District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169b,3.1393841584762976,Kasur District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169c,4.7116524661514605,Khanewal District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,6.988635966973814,Khushab District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,3.8228654120484005,Lahore District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,8.240454589970115,Layyah District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,4.70957750005952,Lodhran District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a1,4.236961941981748,Mandi Bahauddin District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a2,7.407061378459975,Mianwali District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a3,4.558662270167055,Multan District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
