system:index,NDWI_mean,district,month,year,.geo
0_0001000000000000168f,-0.37482308134442205,Attock District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,-0.47116749223241305,Bahawalnagar District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,-0.32876313707246035,Bahawalpur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,-0.3689135455821544,Bhakkar District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,-0.4159095513334681,Chakwal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,-0.37522649681683473,Dera Ghazi Khan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,-0.48116524982965414,Faisalabad District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,-0.5233328458503667,Gujranwala District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,-0.4374122198116273,Gujrat District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,-0.5424452724483836,Hafizabad District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,-0.4649867844331685,Jhang District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,-0.4120227914152338,Jhelum District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,-0.49630999904542333,Kasur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,-0.5361863347748446,Khanewal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,-0.38786180210099847,Khushab District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,-0.3788138270287263,Lahore District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,-0.4086016267550495,Layyah District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,-0.5142124974069339,Lodhran District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,-0.4784217171337593,Mandi Bahauddin District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,-0.38018395973955355,Mianwali District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,-0.47267234429629246,Multan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,-0.44097387339027316,Muzaffargarh District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,-0.4526722157542418,Narowal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,-0.54184952652726,Okara District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,-0.5373212726955768,Pakpattan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,-0.3855992213724189,Rahim Yar Khan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,-0.32860692573619726,Rajanpur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,-0.4730551673609202,Rawalpindi District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ab,-0.566725982241976,Sahiwal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ac,-0.4836099687424557,Sargodha District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ad,-0.5246909391502426,Sheikhupura District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ae,-0.49224485418650377,Sialkot District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016af,-0.5519843294627662,Toba Tek Singh District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016b0,-0.5182492159224306,Vehari District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000168f,-0.38418696704917915,Attock District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001690,-0.5156372654852901,Bahawalnagar District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001691,-0.3341933863857108,Bahawalpur District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001692,-0.4258583725731808,Bhakkar District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001693,-0.4039020471967468,Chakwal District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001694,-0.3719783916893612,Dera Ghazi Khan District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001695,-0.5426041455704511,Faisalabad District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001696,-0.5727142829114225,Gujranwala District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001697,-0.47921546710321633,Gujrat District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001698,-0.6356283867464811,Hafizabad District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001699,-0.5295470466567687,Jhang District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169a,-0.415823269155334,Jhelum District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169b,-0.491328616750654,Kasur District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169c,-0.5942060018885006,Khanewal District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,-0.43073168708942683,Khushab District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,-0.3969723337071271,Lahore District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,-0.4677759952966405,Layyah District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,-0.5879656141044655,Lodhran District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a1,-0.5496238883015531,Mandi Bahauddin District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a2,-0.4222508345432266,Mianwali District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a3,-0.5501759584819662,Multan District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a4,-0.49422378506530523,Muzaffargarh District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a5,-0.5331823692819182,Narowal District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a6,-0.5183593739817273,Okara District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a7,-0.5256382645295273,Pakpattan District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a8,-0.403252155907509,Rahim Yar Khan District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a9,-0.34700808117044896,Rajanpur District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016aa,-0.4601817909369982,Rawalpindi District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ab,-0.5553531373946247,Sahiwal District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ac,-0.5448708430815589,Sargodha District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ad,-0.6095740886299389,Sheikhupura District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ae,-0.5133119112846743,Sialkot District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016af,-0.5787635321953152,Toba Tek Singh District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016b0,-0.5481375762990965,Vehari District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000168f,-0.3484372713488425,Attock District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001690,-0.4724358597914054,Bahawalnagar District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001691,-0.3033981426544177,Bahawalpur District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001692,-0.40955642470875253,Bhakkar District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001693,-0.36644432730826604,Chakwal District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001694,-0.35845142325880824,Dera Ghazi Khan District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001695,-0.5424984720892145,Faisalabad District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001696,-0.5861740436551659,Gujranwala District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001697,-0.5022750504631687,Gujrat District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001698,-0.644625570440939,Hafizabad District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001699,-0.5245274806577919,Jhang District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169a,-0.41373728343316124,Jhelum District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169b,-0.515572976353768,Kasur District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
