system:index,NDVI_mean,district,month,year,.geo
0_0001000000000000168f,0.3403906713819656,Attock District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,0.43819299813525114,Bahawalnagar District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,0.2780114952326467,Bahawalpur District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,0.35538436777392896,Bhakkar District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,0.34673170257444724,Chakwal District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,0.33724744359731856,Dera Ghazi Khan District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,0.3514014986325823,Faisalabad District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,0.5689238572741778,Gujranwala District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,0.4300458896648611,Gujrat District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,0.6149766575039636,Hafizabad District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,0.3782486473587383,Jhang District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,0.33924940886479493,Jhelum District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,0.41878520057715357,Kasur District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,0.5072550776544988,Khanewal District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,0.32553831951513373,Khushab District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,0.316907128656355,Lahore District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,0.4305864789262966,Layyah District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,0.47867866775321316,Lodhran District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,0.49195369568555997,Mandi Bahauddin District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,0.3875448801708609,Mianwali District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,0.4968896219812683,Multan District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,0.4872048399237767,Muzaffargarh District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,0.48335415370107765,Narowal District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,0.5570646633733146,Okara District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,0.5532452985225111,Pakpattan District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,0.3686324837741622,Rahim Yar Khan District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,0.3239586821514559,Rajanpur District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,0.44339853143445856,Rawalpindi District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ab,0.49064612101613253,Sahiwal District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ac,0.42933045560539446,Sargodha District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ad,0.543482260368833,Sheikhupura District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ae,0.4947417529186906,Sialkot District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016af,0.38201609776954765,Toba Tek Singh District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016b0,0.38074396478517575,Vehari District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000168f,0.34421512337979737,Attock District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
