system:index,Temperature_C,district,month,year,.geo
0_0001000000000000168f,11.091377173499334,Attock District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,14.01657590527965,Bahawalnagar District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,15.046713753187676,Bahawalpur District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,13.679088664142391,Bhakkar District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,11.95162898560579,Chakwal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,13.365863698260371,Dera Ghazi Khan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,13.149143801739664,Faisalabad District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,12.676518567514645,Gujranwala District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,12.701637633402152,Gujrat District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,12.777092698100933,Hafizabad District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,13.578933046050063,Jhang District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,12.388177988950252,Jhelum District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,12.878790161957497,Kasur District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,14.067737571474241,Khanewal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,12.684514730120432,Khushab District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,12.643816680155853,Lahore District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,14.050552361631315,Layyah District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,14.606777552563049,Lodhran District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,12.647339739452612,Mandi Bahauddin District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,13.163526525608733,Mianwali District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,14.471335601040497,Multan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,14.47817490221334,Muzaffargarh District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,12.256404689582544,Narowal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,13.265400134007447,Okara District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,13.579951774158737,Pakpattan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,15.536344759836327,Rahim Yar Khan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,14.937889659038344,Rajanpur District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,10.761372606360192,Rawalpindi District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ab,13.596235504865136,Sahiwal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ac,12.779406984174859,Sargodha District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ad,12.80537638166984,Sheikhupura District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ae,12.37838440731467,Sialkot District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016af,13.46846388583276,Toba Tek Singh District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016b0,14.133582217064768,Vehari District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000168f,14.116618238257619,Attock District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001690,18.32659649533211,Bahawalnagar District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001691,19.726935440202347,Bahawalpur District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001692,17.037631994123483,Bhakkar District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001693,14.762033466474682,Chakwal District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001694,16.220860140703227,Dera Ghazi Khan District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001695,17.02998434156258,Faisalabad District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001696,16.195257568802308,Gujranwala District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001697,15.727639050335434,Gujrat District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001698,16.450896271798186,Hafizabad District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001699,17.3224402506074,Jhang District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169a,15.3978953665027,Jhelum District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169b,16.61091185583755,Kasur District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169c,17.8323379048415,Khanewal District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,16.09697153535844,Khushab District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,16.163639191722808,Lahore District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,17.390720340802005,Layyah District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,18.262861013353383,Lodhran District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a1,16.124966672354876,Mandi Bahauddin District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a2,15.82051351531784,Mianwali District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a3,18.03460807483873,Multan District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a4,17.878278456925692,Muzaffargarh District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a5,15.224274658111987,Narowal District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a6,17.139596586427736,Okara District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a7,17.486529520100937,Pakpattan District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a8,19.779852448943743,Rahim Yar Khan District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a9,18.435681944486024,Rajanpur District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016aa,13.360570003700875,Rawalpindi District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ab,17.524639961097925,Sahiwal District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ac,16.52995051454934,Sargodha District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ad,16.487325089669024,Sheikhupura District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ae,15.393122875153535,Sialkot District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016af,17.355014205174378,Toba Tek Singh District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016b0,17.905156734833913,Vehari District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000168f,17.735344036726175,Attock District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001690,23.081830419390815,Bahawalnagar District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001691,24.804775530937853,Bahawalpur District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001692,22.321178270156842,Bhakkar District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001693,18.785485264698497,Chakwal District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001694,21.091722250267612,Dera Ghazi Khan District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001695,21.53155319236073,Faisalabad District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001696,20.262574493058423,Gujranwala District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001697,19.149899668339167,Gujrat District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001698,21.063188210581302,Hafizabad District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001699,22.32543528974443,Jhang District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169a,19.293199728454915,Jhelum District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169b,21.08452767316795,Kasur District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169c,22.660335298953303,Khanewal District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169d,21.05235069981542,Khushab District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169e,20.338602573238276,Lahore District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169f,22.95230448992158,Layyah District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a0,23.209524699771205,Lodhran District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a1,20.50813804734404,Mandi Bahauddin District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a2,20.140867403196687,Mianwali District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a3,23.061387381102595,Multan District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a4,23.08436806506588,Muzaffargarh District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a5,19.118304705178133,Narowal District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a6,21.678629440060547,Okara District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a7,22.100813295354488,Pakpattan District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a8,24.780317405677774,Rahim Yar Khan District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a9,23.61144211817405,Rajanpur District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016aa,16.59056732650232,Rawalpindi District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ab,22.103890961404,Sahiwal District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ac,21.372237350483854,Sargodha District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ad,20.791008959622886,Sheikhupura District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ae,19.066438364395996,Sialkot District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016af,22.071637824109306,Toba Tek Singh District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016b0,22.56051459623907,Vehari District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000168f,26.285907263422004,Attock District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001690,31.292761800577097,Bahawalnagar District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001691,32.80800473255915,Bahawalpur District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001692,30.837492040651632,Bhakkar District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001693,27.48597300634629,Chakwal District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001694,29.634570584768525,Dera Ghazi Khan District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001695,29.980633790660097,Faisalabad District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001696,29.364571561233525,Gujranwala District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001697,27.700320047423443,Gujrat District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001698,30.048836957057663,Hafizabad District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001699,30.761420685897807,Jhang District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
