system:index,NDVI_mean,district,month,year,.geo
0_0001000000000000168f,0.3149732092019355,Attock District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,0.49360070532699996,Bahawalnagar District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,0.2400721966066183,Bahawalpur District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,0.3511034755150003,Bhakkar District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,0.31173860612824383,Chakwal District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,0.32703087694823024,Dera Ghazi Khan District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,0.47098290511847374,Faisalabad District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,0.5823126114768953,Gujranwala District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,0.4414094337359517,Gujrat District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,0.6011965810370686,Hafizabad District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,0.4654598630141468,Jhang District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,0.3493321328141981,Jhelum District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,0.5158101263336449,Kasur District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,0.632504192053532,Khanewal District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,0.3159334214134163,Khushab District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,0.3894377929690665,Lahore District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,0.4438698449455675,Layyah District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,0.6427974545250198,Lodhran District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,0.5088705479342434,Mandi Bahauddin District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,0.40319217451867734,Mianwali District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,0.5782238721879035,Multan District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,0.5011337585236065,Muzaffargarh District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,0.15877879200559064,Narowal District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,0.5212475886760909,Okara District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,0.5825104101529236,Pakpattan District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,0.35146898692618717,Rahim Yar Khan District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,0.28676628456921316,Rajanpur District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,0.3298190480715114,Rawalpindi District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ab,0.6005570821963665,Sahiwal District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ac,0.509325644602143,Sargodha District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ad,0.5352872735267755,Sheikhupura District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ae,0.37703931263479934,Sialkot District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016af,0.5521109661152674,Toba Tek Singh District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016b0,0.5773032660379195,Vehari District,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000168f,0.3210459130401673,Attock District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001690,0.5083379489766281,Bahawalnagar District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001691,0.25046534462571507,Bahawalpur District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001692,0.36590825932967513,Bhakkar District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001693,0.30116183667556046,Chakwal District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001694,0.30447201688256326,Dera Ghazi Khan District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001695,0.545657035360934,Faisalabad District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001696,0.6190138977192575,Gujranwala District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001697,0.504694062624604,Gujrat District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001698,0.7096412372253749,Hafizabad District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001699,0.531417693155144,Jhang District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169a,0.3521345345394256,Jhelum District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169b,0.48350634461688186,Kasur District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169c,0.6330218314421335,Khanewal District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,0.3448151224804534,Khushab District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,0.3923626825867712,Lahore District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,0.46227903596084746,Layyah District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,0.6467776323439803,Lodhran District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a1,0.5843301591231297,Mandi Bahauddin District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a2,0.4101381375799895,Mianwali District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a3,0.5771560307710313,Multan District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a4,0.48568825703787655,Muzaffargarh District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a5,0.588174236944365,Narowal District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a6,0.5247911597358532,Okara District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a7,0.5102610259591751,Pakpattan District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a8,0.3538785045619474,Rahim Yar Khan District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a9,0.27407177426729995,Rajanpur District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016aa,0.3884079089574578,Rawalpindi District,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
