system:index,SoilMoisture,district,month,year,.geo
0_0001000000000000168f,0.15094297484032226,Attock District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,0.12381641612639735,Bahawalnagar District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,0.05492131965707014,Bahawalpur District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,0.05405760599124004,Bhakkar District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,0.1441432715216728,Chakwal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,0.0570701409362734,Dera Ghazi Khan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,0.14767685804100078,Faisalabad District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,0.1882066450697999,Gujranwala District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,0.16389408763713456,Gujrat District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,0.1420017220967256,Hafizabad District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,0.1217209453764325,Jhang District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,0.1343867594658482,Jhelum District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,0.1954692537444347,Kasur District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,0.12670043435012324,Khanewal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,0.09880562487134864,Khushab District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,0.18052027794603398,Lahore District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,0.05685682256845621,Layyah District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,0.12230781574291942,Lodhran District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,0.13169450643355868,Mandi Bahauddin District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,0.1030557379654959,Mianwali District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,0.12127943398433878,Multan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,0.08755953611773175,Muzaffargarh District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,0.241431647372381,Narowal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,0.18083313873864226,Okara District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,0.16360263292202262,Pakpattan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,0.07102096604640261,Rahim Yar Khan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,0.05098798724753843,Rajanpur District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,0.1889773264675097,Rawalpindi District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
