system:index,bare_km2,built_km2,crops_km2,district,flooded_vegetation_km2,grass_km2,month,shrub_and_scrub_km2,snow_and_ice_km2,trees_km2,water_km2,year,.geo
0_0001000000000000168f,214.066557410458,614.4117155177481,3924.866104613814,Attock District,50.27616565234813,13.72470457437722,1,1142.6262107390362,0.18665456813851408,688.7490835760702,156.2395608905338,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,1786.586326375863,399.7250057288791,6125.192549807521,Bahawalnagar District,10.182694253215896,1.1512378742918372,1,145.05223616309027,6.327293798327446,29.427997763517002,73.37948718209039,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,10743.178533371232,579.1234842368602,11627.44361537456,Bahawalpur District,2.443600195529414,0.9675423455881138,1,790.5689957871887,0.2771777706220746,191.26060285260354,32.49266466320146,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,2761.274794379403,659.4022604831697,4666.913430736779,Bhakkar District,0.3473841529339552,0.05093296151608229,1,261.8045565052981,113.93221712612784,86.22006057515084,38.24927155075997,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,89.75177415646611,579.9957344594575,3814.202225806349,Chakwal District,33.941338830857596,6.513776821778248,1,936.4242353584104,0.32513287899760057,1059.5689543410772,90.21827593577258,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,2579.8648734337594,593.5298265674609,4660.9488298596425,Dera Ghazi Khan District,38.18891281971671,0.9523100419663916,1,3274.818010566416,2.1192947952076793,362.0667981782234,280.6866364211611,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,77.59099092769492,846.6618172007668,4524.802362493465,Faisalabad District,8.134656196471084,1.677954469274218,1,41.466591610909234,13.564533789302498,382.5452349112496,50.98257018456272,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,76.98271283934294,385.2810891747365,3010.1581106291387,Gujranwala District,4.6623584145022665,2.5920440859106533,1,10.933807032244902,0.11082766107557451,42.5960356299528,86.15688155953059,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,49.08777831268369,463.06750150385005,2208.733295879955,Gujrat District,6.942869970702803,3.7331539874312045,1,86.05067546923152,0.12468770531316599,290.32110811772145,58.95820102036073,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,34.42338287713116,160.58514516792243,1955.1974157017385,Hafizabad District,5.8196789483959765,1.1321282871067524,1,8.473479097690797,0.43224743192321524,48.29637609207819,62.99832171797387,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,921.9749844855429,694.4885627162221,6640.095128403177,Jhang District,2.1009897024279423,4.6699054427444935,1,105.98596213275165,72.00350881969811,343.5876245781669,162.35158586494038,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
