system:index,NDVI_mean,district,month,year,.geo
0_0001000000000000168f,0.27631964384306795,Attock District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,0.48344088666120655,Bahawalnagar District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,0.2542261871006453,Bahawalpur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,0.3590404541430411,Bhakkar District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,0.3250460269414825,Chakwal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,0.3137892950738656,Dera Ghazi Khan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,0.50340355362397,Faisalabad District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,0.5834345925818842,Gujranwala District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,0.4313429884826186,Gujrat District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,0.6153255368411077,Hafizabad District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,0.48705559838430273,Jhang District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,0.3476574730923091,Jhelum District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,0.5348941766723195,Kasur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,0.5775418118032762,Khanewal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,0.3440857954685138,Khushab District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,0.37949176545185753,Lahore District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,0.42000060906815506,Layyah District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,0.5564108921164357,Lodhran District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,0.5132985894889475,Mandi Bahauddin District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
