system:index,NDWI_mean,district,month,year,.geo
0_0001000000000000168f,-0.38523760917705824,Attock District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,-0.46270612936863437,Bahawalnagar District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,-0.338343593643849,Bahawalpur District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,-0.3310965454605562,Bhakkar District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,-0.40985127067079163,Chakwal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,-0.3892756503593773,Dera Ghazi Khan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,-0.46937472808481934,Faisalabad District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,-0.5650272107865707,Gujranwala District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,-0.44107499121918553,Gujrat District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,-0.5278690851696216,Hafizabad District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,-0.4393700671057733,Jhang District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,-0.44552271489662704,Jhelum District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,-0.45198745939380236,Kasur District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,-0.5046507127515757,Khanewal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,-0.3926247791871079,Khushab District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,-0.3832026558633665,Lahore District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,-0.39408257287707565,Layyah District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,-0.5010026952729466,Lodhran District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,-0.4828625163346313,Mandi Bahauddin District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,-0.3987064753672646,Mianwali District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,-0.4869047568992358,Multan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,-0.43835201869405266,Muzaffargarh District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,-0.47879351796614533,Narowal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,-0.5385339053931488,Okara District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,-0.5295869128285793,Pakpattan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,-0.3955653034944664,Rahim Yar Khan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,-0.35460027057987187,Rajanpur District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,-0.45810382078867856,Rawalpindi District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ab,-0.5435288927448633,Sahiwal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ac,-0.5026980548517983,Sargodha District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ad,-0.5466564500759459,Sheikhupura District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ae,-0.5122850767908826,Sialkot District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016af,-0.5086670110426691,Toba Tek Singh District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016b0,-0.4597978185750906,Vehari District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000168f,-0.38658306736660397,Attock District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
