system:index,NDVI_mean,district,month,year,.geo
1_0001000000000000169c,0.5847138196060268,Khanewal District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,0.33806913007749,Khushab District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,0.4350474650420967,Lahore District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,0.45186111307079674,Layyah District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,0.6116265186424744,Lodhran District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a1,0.5808607600203571,Mandi Bahauddin District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a2,0.3843948017069873,Mianwali District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a3,0.5704607589694237,Multan District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a4,0.5100469200200349,Muzaffargarh District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a5,0.6264946603483625,Narowal District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a6,0.5604417582909684,Okara District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a7,0.5809081834886698,Pakpattan District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a8,0.35880844319393634,Rahim Yar Khan District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a9,0.3212672456068869,Rajanpur District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016aa,0.4130518667537307,Rawalpindi District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ab,0.5393226352118082,Sahiwal District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ac,0.5531145756411775,Sargodha District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ad,0.6554724961456166,Sheikhupura District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ae,0.5910139809194769,Sialkot District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016af,0.5366516639046579,Toba Tek Singh District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016b0,0.5399361009109538,Vehari District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000168f,0.34404226388654735,Attock District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001690,0.44739043312305904,Bahawalnagar District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001691,0.2163369532433256,Bahawalpur District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001692,0.37468124055729674,Bhakkar District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001693,0.32007561184047567,Chakwal District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001694,0.31019094652986706,Dera Ghazi Khan District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001695,0.5487495345301394,Faisalabad District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001696,0.6556818365999817,Gujranwala District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001697,0.5119131211093028,Gujrat District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001698,0.6926868918507185,Hafizabad District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001699,0.5408843558911646,Jhang District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169a,0.36106569924965204,Jhelum District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169b,0.5572563985713148,Kasur District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169c,0.570625450794878,Khanewal District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169d,0.3318929749363587,Khushab District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169e,0.45167749424874903,Lahore District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169f,0.46566520551591406,Layyah District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a0,0.5713964945090985,Lodhran District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a1,0.6099074177945395,Mandi Bahauddin District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a2,0.4025788261794645,Mianwali District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a3,0.5416374161668279,Multan District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a4,0.48379049900890514,Muzaffargarh District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a5,0.6802992360515913,Narowal District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a6,0.5403346679999244,Okara District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a7,0.5546514800605349,Pakpattan District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a8,0.3071101452577824,Rahim Yar Khan District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
