system:index,SoilMoisture,district,month,year,.geo
1_0001000000000000169b,0.15202122981391494,Kasur District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169c,0.141783581928138,Khanewal District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,0.13014353933838071,Khushab District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,0.15190302146864587,Lahore District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,0.06561516728567594,Layyah District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,0.1372523707341523,Lodhran District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a1,0.15732498740957493,Mandi Bahauddin District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a2,0.1529514993200308,Mianwali District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a3,0.13618685062952987,Multan District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a4,0.09701962150447642,Muzaffargarh District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a5,0.2636262666105406,Narowal District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a6,0.1459653513601202,Okara District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a7,0.13892363428413035,Pakpattan District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a8,0.07614097611221404,Rahim Yar Khan District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a9,0.05186125024528357,Rajanpur District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016aa,0.27406559774776523,Rawalpindi District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ab,0.14547100572295216,Sahiwal District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ac,0.15506766368780542,Sargodha District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ad,0.14981322768592342,Sheikhupura District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ae,0.22595724942078002,Sialkot District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016af,0.14776077865505247,Toba Tek Singh District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016b0,0.13609064481772895,Vehari District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000168f,0.24005432167354152,Attock District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001690,0.10223615555720755,Bahawalnagar District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001691,0.05059231743853554,Bahawalpur District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001692,0.10317081693320734,Bhakkar District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001693,0.24761642965451128,Chakwal District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001694,0.10253142887991362,Dera Ghazi Khan District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001695,0.1873339410531014,Faisalabad District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001696,0.19845668632261648,Gujranwala District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001697,0.20234810090196,Gujrat District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001698,0.20201107538410137,Hafizabad District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001699,0.17245464684139214,Jhang District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169a,0.22006681674761341,Jhelum District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169b,0.17533491734423515,Kasur District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169c,0.1359969987021223,Khanewal District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169d,0.16952676911150805,Khushab District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169e,0.18782097779081716,Lahore District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169f,0.08973390814762099,Layyah District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a0,0.12476350154943582,Lodhran District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a1,0.19544512950934903,Mandi Bahauddin District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a2,0.18460985920407963,Mianwali District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a3,0.1289199312695156,Multan District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a4,0.09907925092228509,Muzaffargarh District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a5,0.230156536288965,Narowal District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a6,0.1506403564177702,Okara District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a7,0.133446892867001,Pakpattan District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a8,0.07066798994168114,Rahim Yar Khan District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a9,0.05277251725948566,Rajanpur District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016aa,0.2933555980197658,Rawalpindi District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ab,0.1434695354717033,Sahiwal District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ac,0.2045366054312189,Sargodha District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ad,0.18715302826471528,Sheikhupura District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ae,0.22640335738446166,Sialkot District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016af,0.1644002717789082,Toba Tek Singh District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016b0,0.1284320811072033,Vehari District,3,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000168f,0.2952499887485741,Attock District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001690,0.12097476474764367,Bahawalnagar District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001691,0.05654572801934974,Bahawalpur District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001692,0.16007418069231238,Bhakkar District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001693,0.29895143482860737,Chakwal District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
