system:index,Cropland_Fraction,district,year,.geo
0001000000000000168f,0.37921811113293385,Attock District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001690,0.5327038315981946,Bahawalnagar District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001691,0.18148418751166745,Bahawalpur District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001692,0.26675072814978645,Bhakkar District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001693,0.4022725843229477,Chakwal District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001694,0.22878334475776127,Dera Ghazi Khan District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001695,0.7468412933522115,Faisalabad District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001696,0.8009167542607903,Gujranwala District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001697,0.6585110313727162,Gujrat District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001698,0.8223888731142005,Hafizabad District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001699,0.6256672973983664,Jhang District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000169a,0.36235062905309323,Jhelum District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000169b,0.7865557430785306,Kasur District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000169c,0.687537553594526,Khanewal District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000169d,0.3257686281912053,Khushab District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000169e,0.4492339840610849,Lahore District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000169f,0.38704612691669366,Layyah District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a0,0.6959071526301707,Lodhran District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a1,0.7566216445648294,Mandi Bahauddin District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a2,0.3349863410824239,Mianwali District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a3,0.5451452832216929,Multan District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a4,0.4294454747841108,Muzaffargarh District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a5,0.8373936391061032,Narowal District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a6,0.8219599089006896,Okara District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a7,0.7885804701696555,Pakpattan District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a8,0.4063933799439845,Rahim Yar Khan District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a9,0.2102505054948824,Rajanpur District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016aa,0.3441819891787142,Rawalpindi District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016ab,0.768753549705835,Sahiwal District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016ac,0.770029923518835,Sargodha District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016ad,0.8155665261935112,Sheikhupura District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016ae,0.7816099299748643,Sialkot District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016af,0.7177088916026266,Toba Tek Singh District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016b0,0.7614846388115011,Vehari District,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
