system:index,district,month,temp_max_c,temp_mean_c,temp_min_c,year,.geo
0_0001000000000000168f,Attock District,1,19.491146420678522,11.116874869600903,3.066173008405619,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,Bahawalnagar District,1,23.420598185934384,11.743435479805399,3.6815177203330878,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,Bahawalpur District,1,24.585785878383742,12.739140978964025,4.240865380492737,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,Bhakkar District,1,22.066007042115928,12.006665631847364,4.055407536267746,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,Chakwal District,1,19.4756271908345,11.075473792217776,3.0914260651909085,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,Dera Ghazi Khan District,1,21.919088871135585,12.60057841150892,5.221223716536231,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,Faisalabad District,1,21.488816257190383,10.707263404017352,3.0116016530942513,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,Gujranwala District,1,21.1558719982945,10.162558247791514,3.083682485404401,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,Gujrat District,1,21.6635325975563,10.764382236919062,3.1794597158707774,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,Hafizabad District,1,21.071476299250882,10.38951064785457,3.214650464443669,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,Jhang District,1,22.112768427174508,11.424170211628493,3.612120465551205,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,Jhelum District,1,20.707066582049052,11.049766282689298,3.4552047083581,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,Kasur District,1,21.125352974592396,10.220442986907017,2.9662557617967873,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,Khanewal District,1,23.200511071996836,12.060482518321672,3.711601898704215,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,Khushab District,1,20.942315023817496,11.623655996430752,3.4944037001514805,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,Lahore District,1,20.87475169521176,9.925113422154414,3.2694652767052874,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,Layyah District,1,23.06307303769393,12.25413841778803,3.893033348228687,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,Lodhran District,1,23.71281388843335,12.6141629397088,4.264709891981774,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,Mandi Bahauddin District,1,21.478826522781493,10.866980722163811,3.4245667877946637,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,Mianwali District,1,20.862499283993895,12.326144554468364,4.881385373686172,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,Multan District,1,23.698008979595794,12.86666769175046,4.65685004719494,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,Muzaffargarh District,1,23.587843124917466,13.031210341783034,5.020599388201149,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,Narowal District,1,20.97575388651359,10.277962240830966,3.5981749133737506,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,Okara District,1,22.06497488029081,10.704627209998067,3.1102482498351884,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,Pakpattan District,1,22.653497477084876,11.20884514927568,3.7021901620135473,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,Rahim Yar Khan District,1,24.85668748881756,13.589072033385133,5.246542474573798,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,Rajanpur District,1,24.067129187275142,13.447617288232847,5.743363001812364,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,Rawalpindi District,1,19.33001574753643,10.104205534250108,1.98002468313526,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ab,Sahiwal District,1,22.549177589348805,11.183684085958431,3.351400623638218,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ac,Sargodha District,1,21.362116701146924,11.146125723799061,3.594073353109541,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ad,Sheikhupura District,1,20.964340756570515,10.13796637875082,3.0005961283628064,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ae,Sialkot District,1,21.47482462516816,10.436260498859271,2.9613162162633646,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016af,Toba Tek Singh District,1,22.350476842972043,11.232511301935217,3.03671398133775,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016b0,Vehari District,1,23.220078928077267,11.898000749959818,3.805336210583925,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000168f,Attock District,2,23.689222408746158,12.313431488862893,1.8968158109598439,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001690,Bahawalnagar District,2,29.22243449260233,16.565021836724334,6.671092744806192,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001691,Bahawalpur District,2,30.49173025343622,17.728395195606073,6.839082955773773,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001692,Bhakkar District,2,26.181059612532106,15.550356767335236,6.204344756435569,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001693,Chakwal District,2,23.254804955514732,12.785727060374281,3.6922192158329543,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001694,Dera Ghazi Khan District,2,27.044688815705623,15.15403431818786,6.63021601533738,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001695,Faisalabad District,2,25.438820079875182,15.175626020140026,6.1985636996160265,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001696,Gujranwala District,2,24.396705631497753,14.044808011780084,4.1071849104398686,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001697,Gujrat District,2,24.42818271127123,13.408880938501678,3.449915881286783,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001698,Hafizabad District,2,24.532536665751465,14.374722044725427,5.338646197711726,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001699,Jhang District,2,26.151941482538806,15.611067635318795,6.64708320659594,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169a,Jhelum District,2,24.10917201712832,12.942985397239188,3.1013822726569837,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169b,Kasur District,2,25.784378415135645,15.01585600145732,5.170104477744794,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169c,Khanewal District,2,27.01618906719968,16.27402478908877,7.348919257006162,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,Khushab District,2,25.021718893323893,14.387536209261091,4.853222525329152,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,Lahore District,2,25.16829645052023,14.604603799354358,4.419151907969602,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,Layyah District,2,27.10449855877027,16.085926421609674,6.560428432279129,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,Lodhran District,2,27.672600530182766,16.657622547243946,7.486994173083923,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
