system:index,district,month,soil_moisture_0_7cm,soil_moisture_7_28cm,year,.geo
1_00010000000000001695,Faisalabad District,2,0.17980217778137772,0.15535348845474747,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001696,Gujranwala District,2,0.2297979229999284,0.202477148296916,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001697,Gujrat District,2,0.27443658208910965,0.26293269412629194,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001698,Hafizabad District,2,0.20692868886798726,0.18297967397156134,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001699,Jhang District,2,0.15380109464231762,0.146043060267489,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169a,Jhelum District,2,0.27222505243678286,0.26058575985919247,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169b,Kasur District,2,0.18380288395164382,0.1590656273736986,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169c,Khanewal District,2,0.13149817862440238,0.13548131596491525,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,Khushab District,2,0.16477511342071727,0.15954481089864053,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,Lahore District,2,0.17946135502616106,0.16948170958168995,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,Layyah District,2,0.06352789796272698,0.09546591933652904,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,Lodhran District,2,0.1320845449641262,0.13212757310027465,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a1,Mandi Bahauddin District,2,0.22962145068664952,0.20118246857576533,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a2,Mianwali District,2,0.17002670760299898,0.1495250368568422,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a3,Multan District,2,0.13120659666957807,0.13220467296826335,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a4,Muzaffargarh District,2,0.10006827126209927,0.11110527336499809,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a5,Narowal District,2,0.30228792602615,0.2959546453271941,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a6,Okara District,2,0.16808370611801182,0.14255176927022378,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a7,Pakpattan District,2,0.13978608675519905,0.13334493929835442,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a8,Rahim Yar Khan District,2,0.0894357613911262,0.11840441405062252,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a9,Rajanpur District,2,0.06623024493314657,0.13757510958116503,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016aa,Rawalpindi District,2,0.33323816461471834,0.3332765481972886,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ab,Sahiwal District,2,0.15208319713309418,0.14278712777083644,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ac,Sargodha District,2,0.2046770519638471,0.18360736060924995,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ad,Sheikhupura District,2,0.19100398922551495,0.16740670050525258,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ae,Sialkot District,2,0.29012228291684095,0.2814486385114812,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016af,Toba Tek Singh District,2,0.15523224408979822,0.14512696234635056,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016b0,Vehari District,2,0.13174983034038903,0.1326518231166369,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000168f,Attock District,3,0.28361651964831935,0.2851783734271128,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001690,Bahawalnagar District,3,0.10366134666760907,0.128016821534716,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001691,Bahawalpur District,3,0.054455674548811284,0.1229375952225105,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001692,Bhakkar District,3,0.10149021676609803,0.10662891338830406,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001693,Chakwal District,3,0.25509644941703724,0.2473337928599338,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001694,Dera Ghazi Khan District,3,0.11092267484653191,0.1731988743241885,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001695,Faisalabad District,3,0.1798917699923287,0.15273858589948433,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001696,Gujranwala District,3,0.20880892648121668,0.2023079537167458,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001697,Gujrat District,3,0.272218233040232,0.27435448863702977,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001698,Hafizabad District,3,0.198918171799031,0.176874094250197,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001699,Jhang District,3,0.1757236004207052,0.15061469965016377,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169a,Jhelum District,3,0.2723469458392238,0.26992425884926213,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169b,Kasur District,3,0.1571448025244803,0.1443253018499062,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169c,Khanewal District,3,0.1479280313504498,0.13632137307242828,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169d,Khushab District,3,0.16665673325767713,0.15225701044136145,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169e,Lahore District,3,0.15851995876126865,0.15646757092885624,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169f,Layyah District,3,0.08654614787641683,0.1040277627493876,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a0,Lodhran District,3,0.1323797352190249,0.1323636821553842,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a1,Mandi Bahauddin District,3,0.22655322533698002,0.22452151557814432,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a2,Mianwali District,3,0.18833701317787663,0.1839584552354922,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a3,Multan District,3,0.14104756838555282,0.13320547798474844,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a4,Muzaffargarh District,3,0.11225820879230902,0.1128856274887241,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
