system:index,district,month,soil_moisture_0_7cm,soil_moisture_7_28cm,year,.geo
0_0001000000000000168f,Attock District,1,0.20345497661813663,0.1880111480105498,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,Bahawalnagar District,1,0.11477250238431225,0.12957099976324526,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,Bahawalpur District,1,0.05744561149259871,0.12641615415978644,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,Bhakkar District,1,0.0596962591039018,0.11133270566877884,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,Chakwal District,1,0.21461538409291783,0.19984006027812568,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,Dera Ghazi Khan District,1,0.06880956410988462,0.17062071435185164,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,Faisalabad District,1,0.17912417673289194,0.15154440903513594,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,Gujranwala District,1,0.205950531920481,0.17466140711620678,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,Gujrat District,1,0.23320469594612073,0.2029958163526031,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,Hafizabad District,1,0.1958713659134374,0.16365549491211312,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,Jhang District,1,0.15225631972240625,0.14532313571432617,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,Jhelum District,1,0.24413927291562504,0.2197159199574611,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,Kasur District,1,0.17225352046712095,0.14524912833908787,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,Khanewal District,1,0.16246460659258585,0.14225086489145825,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,Khushab District,1,0.12795960441493734,0.14150039767175013,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,Lahore District,1,0.18445497164874244,0.16024131670477873,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
