system:index,NDWI_mean,district,month,year,.geo
2_00010000000000001694,-0.36213204355435413,Dera Ghazi Khan District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001695,-0.5277314386297461,Faisalabad District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001696,-0.6083505568014488,Gujranwala District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001697,-0.5112291712943292,Gujrat District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001698,-0.6436624721958852,Hafizabad District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001699,-0.520921179672992,Jhang District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169a,-0.4227767562001064,Jhelum District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169b,-0.497828591056121,Kasur District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169c,-0.5287687269198287,Khanewal District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169d,-0.4008750627615803,Khushab District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169e,-0.42764276528989775,Lahore District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169f,-0.4390485944453232,Layyah District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a0,-0.5327835417590758,Lodhran District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a1,-0.5892216714986712,Mandi Bahauddin District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a2,-0.40908118075283084,Mianwali District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a3,-0.5208463574487611,Multan District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a4,-0.44857450091687523,Muzaffargarh District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a5,-0.6076662251762682,Narowal District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a6,-0.4961731866760181,Okara District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a7,-0.4961738782421915,Pakpattan District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a8,-0.3489948428591236,Rahim Yar Khan District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a9,-0.31656042568201276,Rajanpur District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016aa,-0.48189749764804396,Rawalpindi District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ab,-0.4945288949619076,Sahiwal District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ac,-0.5570497784585662,Sargodha District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ad,-0.6129545104860274,Sheikhupura District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ae,-0.5907621332199083,Sialkot District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016af,-0.5314351176978969,Toba Tek Singh District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016b0,-0.5159864898831528,Vehari District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000168f,-0.3570537519005884,Attock District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001690,-0.30162461100326954,Bahawalnagar District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001691,-0.25165350585197876,Bahawalpur District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001692,-0.2790128694358864,Bhakkar District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001693,-0.3594292704345159,Chakwal District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001694,-0.26794255949775153,Dera Ghazi Khan District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001695,-0.3804067247814357,Faisalabad District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001696,-0.43959025784914413,Gujranwala District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001697,-0.4283067598744981,Gujrat District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001698,-0.3735218039453073,Hafizabad District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001699,-0.37326586122400324,Jhang District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169a,-0.39614484739689343,Jhelum District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169b,-0.4561476672728064,Kasur District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169c,-0.3853010431298417,Khanewal District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169d,-0.32297226749565355,Khushab District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169e,-0.3766658075323796,Lahore District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169f,-0.28548894636689603,Layyah District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a0,-0.3874192435346019,Lodhran District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a1,-0.4259763412292894,Mandi Bahauddin District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a2,-0.3108650915033519,Mianwali District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a3,-0.39457706609509446,Multan District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a4,-0.32120976890341413,Muzaffargarh District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a5,-0.4812069461624241,Narowal District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a6,-0.478666890291789,Okara District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a7,-0.473789536915018,Pakpattan District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a8,-0.278636237189226,Rahim Yar Khan District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a9,-0.24093518655299556,Rajanpur District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016aa,-0.43245986228286604,Rawalpindi District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ab,-0.4330013878941301,Sahiwal District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ac,-0.42913978062169655,Sargodha District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ad,-0.4134938890618264,Sheikhupura District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ae,-0.49239752098555706,Sialkot District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016af,-0.3839829916414939,Toba Tek Singh District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016b0,-0.46186511480560316,Vehari District,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000168f,-0.32321839794616103,Attock District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001690,-0.2586509177162765,Bahawalnagar District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001691,-0.2196808769055921,Bahawalpur District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001692,-0.23572268905525656,Bhakkar District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001693,-0.3429417891213219,Chakwal District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001694,-0.2684458335552925,Dera Ghazi Khan District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001695,-0.346351952697463,Faisalabad District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001696,-0.33342614512126767,Gujranwala District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001697,-0.3764624471290152,Gujrat District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001698,-0.3155133085912216,Hafizabad District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001699,-0.3120216346071963,Jhang District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169a,-0.35672432350822003,Jhelum District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169b,-0.3952226499421373,Kasur District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169c,-0.3295506219609356,Khanewal District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169d,-0.2947258336119585,Khushab District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169e,-0.3161435491335602,Lahore District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169f,-0.25798625671377723,Layyah District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a0,-0.3015973709782825,Lodhran District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a1,-0.38463677220492387,Mandi Bahauddin District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a2,-0.2773197937225732,Mianwali District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a3,-0.32029367078006576,Multan District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a4,-0.2756253733141865,Muzaffargarh District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a5,-0.3303646300352423,Narowal District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a6,-0.4264263889481403,Okara District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a7,-0.39319963826040405,Pakpattan District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a8,-0.248604100144873,Rahim Yar Khan District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a9,-0.22155889202755535,Rajanpur District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016aa,-0.40521603289390856,Rawalpindi District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ab,-0.3793565014561807,Sahiwal District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ac,-0.3632637218418424,Sargodha District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ad,-0.32003317594111236,Sheikhupura District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ae,-0.3681502336122017,Sialkot District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016af,-0.3409494297995336,Toba Tek Singh District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016b0,-0.37394273288603525,Vehari District,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000168f,-0.30485713908295176,Attock District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001690,-0.3129108465663481,Bahawalnagar District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001691,-0.23530321857007971,Bahawalpur District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001692,-0.22260219451837812,Bhakkar District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001693,-0.3061091418491295,Chakwal District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001694,-0.240208816719483,Dera Ghazi Khan District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001695,-0.36911422606283234,Faisalabad District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001696,-0.287259626691292,Gujranwala District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001697,-0.33752421640701125,Gujrat District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001698,-0.2625663558587995,Hafizabad District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
